completionCode,trialNum,itemNum,condition,Value,sentence,conj1,conj2,ratingRT
CO439307,12,3,X-and-Y-ci,kötü,Leyla eski çarşıda atkı ve şapkacı bir tuhafiyeye uğrayacakmış.,atkı,şapka,8020
CO439307,15,29,X-and-Y-lik,kötü,Melis çocuk kitabı için ejderha ve perilik bir seri başlatmayı düşündü.,ejderha,peri,8363
CO439307,21,2,X-ci-and-Y-ci,kötü,Ömer yeni evine masacı ve sandalyeci bir usta getirdi.,masa,sandalye,7660
CO439307,24,25,X-and-Y-li,oldukça kötü,İzel toplantı sırasında burun ve boyunlu bir maske inceledi.,burun,boyun,6721
CO439307,27,26,X-ci-and-Y-ci,oldukça kötü,Sinan gece yarısı hayaletçi ve canavarcı bir yazarla röportaj yaptı.,hayalet,canavar,8440
CO439307,30,13,X-and-Y-lik,oldukça kötü,Emin geçen tatilde şehir ve köylük bir bölgeyi gezdi.,şehir,köy,5015
CO439307,33,23,X-and-Y-siz,iyi,Jale geçen hafta çatal ve bıçaksız bir piknik yaptı.,çatal,bıçak,9201
CO439307,36,15,X-and-Y-siz,kötü,Deniz misafir beklerken sürahi ve bardaksız bir sofra kurdu.,sürahi,bardak,8391
CO439307,42,16,X-li-and-Y-li,oldukça kötü,Okan üniversite yıllarında çiftlikli ve fabrikalı bir işletme kurdu.,çiftlik,fabrika,9201
CO439307,51,27,X-and-Y-ci,oldukça kötü,Baran araştırması için orman ve çölcü bir araştırmacıyla anlaştı.,orman,çöl,9917
CO439307,57,7,X-and-Y-siz,iyi,Dilek çeyiz alşverişi için battaniye ve halısız bir paket seçmiş.,battaniye,halı,7015
CO439307,60,31,X-and-Y-siz,iyi sayılır,Tülay sonbahar koleksiyonu için gömlek ve pantolonsuz bir katalog inceledi.,gömlek,pantolon,7972
CO439307,63,18,X-ci-and-Y-ci,oldukça kötü,Nevzat genç bir stajyerken okulcu ve camici bir mimarın eserlerini inceledi.,okul,cami,7029
CO439307,66,22,X-siz-and-Y-siz,oldukça kötü,Yankı geçen yaz atsız ve balıksız bir menü denedi.,at,balık,9814
CO439307,75,10,X-ci-and-Y-ci,oldukça kötü,Ali her hafta kedici ve köpekçi bir komşusuyla sohbet eder.,kedi,köpek,6007
CO439307,84,9,X-and-Y-li,oldukça kötü,Zeynep bu hafta anne ve babalı bir toplantıya katıldı.,anne,baba,5948
CO439307,87,19,X-and-Y-ci,oldukça kötü,Zühre son yolculukta gece ve gündüzcü bir rehberle tanıştı.,gece,gündüz,4665
CO439307,90,8,X-li-and-Y-li,iyi sayılır,Selin tamir için kapılı ve pencereli bir atölye tasarlamış.,kapı,pencere,9184
